epoch,train_lost,val_lost,train_acc,val_acc
1,1.28,0.19,0.52,0.73
2,0.67,0.15,0.74,0.76
3,0.58,0.14,0.77,0.78
4,0.53,0.13,0.8,0.81
5,0.49,0.12,0.82,0.81
6,0.46,0.11,0.83,0.83
7,0.44,0.12,0.84,0.82
8,0.42,0.11,0.85,0.84
9,0.4,0.1,0.85,0.84
10,0.39,0.1,0.86,0.85
11,0.37,0.09,0.86,0.86
12,0.36,0.09,0.86,0.86
13,0.35,0.09,0.87,0.86
14,0.35,0.09,0.87,0.87
15,0.34,0.09,0.87,0.87
16,0.33,0.09,0.88,0.87
17,0.32,0.08,0.88,0.88
18,0.31,0.08,0.88,0.88
19,0.31,0.09,0.88,0.87
20,0.31,0.08,0.89,0.88
